GEO_ID,NAME,Total_Pop,Employer_Insurance,Direct_Purchase,Medicare,Medicaid,TRICARE,VA,Uninsured
08001009202,Census Tract 92.02; Adams County; Colorado,4340,625,1265,852,1095,101,294,203
08001009203,Census Tract 92.03; Adams County; Colorado,4221,562,1974,1281,937,43,672,244
08001009204,Census Tract 92.04; Adams County; Colorado,6591,741,1946,1641,1385,79,259,288
08001009206,Census Tract 92.06; Adams County; Colorado,2222,145,503,450,447,82,99,187
08001009207,Census Tract 92.07; Adams County; Colorado,4764,278,1672,1226,1326,187,260,344
08001009304,Census Tract 93.04; Adams County; Colorado,5520,530,1519,1532,1135,384,162,812
08001009306,Census Tract 93.06; Adams County; Colorado,4131,483,903,929,1193,44,89,122
08001009307,Census Tract 93.07; Adams County; Colorado,3627,501,967,773,830,86,193,120
08001009308,Census Tract 93.08; Adams County; Colorado,4198,519,1068,798,1037,122,365,218
08001009309,Census Tract 93.09; Adams County; Colorado,3946,505,1088,925,869,127,174,301
08001009310,Census Tract 93.10; Adams County; Colorado,5474,491,1660,1416,1730,254,301,399
08001009316,Census Tract 93.16; Adams County; Colorado,7145,279,1026,664,2498,61,529,128
08001009318,Census Tract 93.18; Adams County; Colorado,7233,823,2216,1751,2617,231,257,537
08001009319,Census Tract 93.19; Adams County; Colorado,2409,231,607,606,595,7,91,67
08001009320,Census Tract 93.20; Adams County; Colorado,2965,191,866,636,674,7,212,332
08001009321,Census Tract 93.21; Adams County; Colorado,4351,543,1142,1040,1247,34,172,487
08001009322,Census Tract 93.22; Adams County; Colorado,5133,356,1401,1041,1661,71,405,389
08001009323,Census Tract 93.23; Adams County; Colorado,3434,376,983,835,809,109,145,241
08001009325,Census Tract 93.25; Adams County; Colorado,6010,907,1981,1345,1158,111,422,381
08001009326,Census Tract 93.26; Adams County; Colorado,2487,201,618,549,565,27,63,115
08001009327,Census Tract 93.27; Adams County; Colorado,4962,416,1327,955,970,114,390,515
08001009401,Census Tract 94.01; Adams County; Colorado,4529,467,1208,979,1053,181,79,358
08001009406,Census Tract 94.06; Adams County; Colorado,4384,607,1092,1178,907,82,72,285
08001009407,Census Tract 94.07; Adams County; Colorado,5312,723,1389,1076,1373,37,449,298
08001009408,Census Tract 94.08; Adams County; Colorado,4742,799,1176,1139,956,39,56,235
08001009409,Census Tract 94.09; Adams County; Colorado,5728,938,1153,934,777,30,92,396
08001009410,Census Tract 94.10; Adams County; Colorado,3124,627,376,270,225,52,46,214
08001009411,Census Tract 94.11; Adams County; Colorado,3133,332,841,792,780,55,36,210
08001009501,Census Tract 95.01; Adams County; Colorado,3184,271,874,842,993,24,96,118
08001009502,Census Tract 95.02; Adams County; Colorado,5276,903,1510,1574,1493,69,14,276
08001009553,Census Tract 95.53; Adams County; Colorado,3587,379,853,915,1156,53,70,158
08001009603,Census Tract 96.03; Adams County; Colorado,6343,183,1880,987,1815,70,804,75
08001009604,Census Tract 96.04; Adams County; Colorado,3779,223,863,798,953,92,108,114
08001009606,Census Tract 96.06; Adams County; Colorado,3092,402,784,845,926,91,61,117
08001009607,Census Tract 96.07; Adams County; Colorado,4096,742,1059,857,634,204,164,227
08001009608,Census Tract 96.08; Adams County; Colorado,2827,361,655,619,635,77,89,152
08001009751,Census Tract 97.51; Adams County; Colorado,3884,107,1557,858,979,95,698,182
08001009752,Census Tract 97.52; Adams County; Colorado,3163,477,683,630,765,80,255,165
08001015000,Census Tract 150; Adams County; Colorado,2263,127,597,374,223,88,102,210
08001060001,Census Tract 600.01; Adams County; Colorado,2974,464,1068,1097,902,116,83,248
08001060002,Census Tract 600.02; Adams County; Colorado,5127,1297,904,832,705,156,77,436
08001060100,Census Tract 601; Adams County; Colorado,7667,1607,1547,1235,1207,193,287,378
08001060200,Census Tract 602; Adams County; Colorado,4721,355,1584,1483,1449,109,99,386
08001061200,Census Tract 612; Adams County; Colorado,4271,1029,785,855,756,170,62,186
08001988700,Census Tract 9887; Adams County; Colorado,0,0,0,0,0,0,0,0
08059009806,Census Tract 98.06; Jefferson County; Colorado,4706,709,812,813,783,79,101,311
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,252,286,254,253,24,0,113
08059009815,Census Tract 98.15; Jefferson County; Colorado,5126,1101,625,607,542,34,0,224
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,520,1198,1058,1024,85,75,263
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,730,1285,1228,1065,139,68,181
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,750,1212,1198,969,156,118,312
08059009828,Census Tract 98.28; Jefferson County; Colorado,5203,727,1046,873,922,100,212,269
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,373,280,268,227,25,0,124
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,301,747,670,661,78,71,104
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,234,1721,1527,1426,145,160,92
