GEO_ID,NAME,Avg_HH_Size
08059009815,Census Tract 98.15; Jefferson County; Colorado,2.58
08059009823,Census Tract 98.23; Jefferson County; Colorado,2.69
08059009824,Census Tract 98.24; Jefferson County; Colorado,2.44
08059009827,Census Tract 98.27; Jefferson County; Colorado,2.33
08059009828,Census Tract 98.28; Jefferson County; Colorado,2.43
08059009829,Census Tract 98.29; Jefferson County; Colorado,2.54
08059009830,Census Tract 98.30; Jefferson County; Colorado,2.26
08059009831,Census Tract 98.31; Jefferson County; Colorado,1.78
08059009832,Census Tract 98.32; Jefferson County; Colorado,2.51
08059009833,Census Tract 98.33; Jefferson County; Colorado,2.5
08059009834,Census Tract 98.34; Jefferson County; Colorado,2.32
08059009835,Census Tract 98.35; Jefferson County; Colorado,2.46
08059009836,Census Tract 98.36; Jefferson County; Colorado,2.51
08059009837,Census Tract 98.37; Jefferson County; Colorado,3.0
08059009838,Census Tract 98.38; Jefferson County; Colorado,2.43
08059009839,Census Tract 98.39; Jefferson County; Colorado,2.75
08059009840,Census Tract 98.40; Jefferson County; Colorado,2.52
08059009841,Census Tract 98.41; Jefferson County; Colorado,2.36
08059009842,Census Tract 98.42; Jefferson County; Colorado,2.52
08059009845,Census Tract 98.45; Jefferson County; Colorado,2.36
08059009846,Census Tract 98.46; Jefferson County; Colorado,2.56
08059009847,Census Tract 98.47; Jefferson County; Colorado,2.55
08059009848,Census Tract 98.48; Jefferson County; Colorado,2.4
08059009850,Census Tract 98.50; Jefferson County; Colorado,2.28
08059009851,Census Tract 98.51; Jefferson County; Colorado,2.11
08059009852,Census Tract 98.52; Jefferson County; Colorado,2.66
08059009853,Census Tract 98.53; Jefferson County; Colorado,2.72
08059009854,Census Tract 98.54; Jefferson County; Colorado,2.44
08059009855,Census Tract 98.55; Jefferson County; Colorado,2.63
08059009856,Census Tract 98.56; Jefferson County; Colorado,2.05
08059009857,Census Tract 98.57; Jefferson County; Colorado,2.34
08059009858,Census Tract 98.58; Jefferson County; Colorado,2.25
08059009901,Census Tract 99.01; Jefferson County; Colorado,2.15
08059010001,Census Tract 100.01; Jefferson County; Colorado,2.28
08059010100,Census Tract 101; Jefferson County; Colorado,2.25
08059010205,Census Tract 102.05; Jefferson County; Colorado,2.44
08059010206,Census Tract 102.06; Jefferson County; Colorado,2.52
08059010208,Census Tract 102.08; Jefferson County; Colorado,2.67
08059010209,Census Tract 102.09; Jefferson County; Colorado,2.7
08059010210,Census Tract 102.10; Jefferson County; Colorado,2.37
08059010211,Census Tract 102.11; Jefferson County; Colorado,2.37
08059010212,Census Tract 102.12; Jefferson County; Colorado,2.53
08059010213,Census Tract 102.13; Jefferson County; Colorado,2.4
08059010303,Census Tract 103.03; Jefferson County; Colorado,2.45
08059010304,Census Tract 103.04; Jefferson County; Colorado,2.38
08059010305,Census Tract 103.05; Jefferson County; Colorado,2.16
08059010306,Census Tract 103.06; Jefferson County; Colorado,2.27
08059010307,Census Tract 103.07; Jefferson County; Colorado,2.28
08059010308,Census Tract 103.08; Jefferson County; Colorado,2.2
08059010402,Census Tract 104.02; Jefferson County; Colorado,1.96
08059010403,Census Tract 104.03; Jefferson County; Colorado,2.21
08059010405,Census Tract 104.05; Jefferson County; Colorado,1.78
08059010406,Census Tract 104.06; Jefferson County; Colorado,1.97
08059010502,Census Tract 105.02; Jefferson County; Colorado,2.24
08059010503,Census Tract 105.03; Jefferson County; Colorado,2.2
08059010504,Census Tract 105.04; Jefferson County; Colorado,2.62
08059010603,Census Tract 106.03; Jefferson County; Colorado,1.86
