GEO_ID,Tract_Name,County,Total_Households,Family_Households,Nonfamily_Households,Pct_Family_HH
08059012054,"Census Tract 120.54, Jefferson County, CO",Jefferson County,1541,1128,413,73.2
08059012055,"Census Tract 120.55, Jefferson County, CO",Jefferson County,1471,1014,457,68.9
08059012057,"Census Tract 120.57, Jefferson County, CO",Jefferson County,2560,1573,987,61.4
08059012058,"Census Tract 120.58, Jefferson County, CO",Jefferson County,1530,1251,279,81.8
08059012059,"Census Tract 120.59, Jefferson County, CO",Jefferson County,1253,1014,239,80.9
08059012060,"Census Tract 120.60, Jefferson County, CO",Jefferson County,1407,845,562,60.1
08059015800,"Census Tract 158, Jefferson County, CO",Jefferson County,2120,906,1214,42.7
08059015900,"Census Tract 159, Jefferson County, CO",Jefferson County,1454,815,639,56.1
08059060300,"Census Tract 603, Jefferson County, CO",Jefferson County,1587,1130,457,71.2
08059060400,"Census Tract 604, Jefferson County, CO",Jefferson County,2197,1287,910,58.6
08059060501,"Census Tract 605.01, Jefferson County, CO",Jefferson County,3651,2930,721,80.3
08059980000,"Census Tract 9800, Jefferson County, CO",Jefferson County,0,0,0,
08059980400,"Census Tract 9804, Jefferson County, CO",Jefferson County,0,0,0,
08059980700,"Census Tract 9807, Jefferson County, CO",Jefferson County,0,0,0,
08059980800,"Census Tract 9808, Jefferson County, CO",Jefferson County,0,0,0,
