GEO_ID,Tract_Name,County,Total_Pop,Pop_65plus,Pct_65plus
08001007801,"Census Tract 78.01, Adams County, CO",Adams County,4145,182,4.4
08001007802,"Census Tract 78.02, Adams County, CO",Adams County,4092,326,8.0
08001007900,"Census Tract 79, Adams County, CO",Adams County,6173,421,6.8
08001008000,"Census Tract 80, Adams County, CO",Adams County,5701,839,14.7
08001008100,"Census Tract 81, Adams County, CO",Adams County,1615,225,13.9
08001008200,"Census Tract 82, Adams County, CO",Adams County,7106,422,5.9
08001008308,"Census Tract 83.08, Adams County, CO",Adams County,5816,331,5.7
08001008309,"Census Tract 83.09, Adams County, CO",Adams County,4449,283,6.4
08001008354,"Census Tract 83.54, Adams County, CO",Adams County,6219,343,5.5
08001008355,"Census Tract 83.55, Adams County, CO",Adams County,4874,487,10.0
08001008401,"Census Tract 84.01, Adams County, CO",Adams County,5620,561,10.0
08001008402,"Census Tract 84.02, Adams County, CO",Adams County,5353,557,10.4
08001008505,"Census Tract 85.05, Adams County, CO",Adams County,6878,1037,15.1
08001008506,"Census Tract 85.06, Adams County, CO",Adams County,5818,798,13.7
08001008507,"Census Tract 85.07, Adams County, CO",Adams County,6421,1230,19.2
08001008508,"Census Tract 85.08, Adams County, CO",Adams County,5484,617,11.3
08001008524,"Census Tract 85.24, Adams County, CO",Adams County,9164,789,8.6
08001008526,"Census Tract 85.26, Adams County, CO",Adams County,7114,744,10.5
08001008533,"Census Tract 85.33, Adams County, CO",Adams County,7904,640,8.1
08001008534,"Census Tract 85.34, Adams County, CO",Adams County,4228,504,11.9
08001008535,"Census Tract 85.35, Adams County, CO",Adams County,4750,456,9.6
08001008536,"Census Tract 85.36, Adams County, CO",Adams County,4924,579,11.8
08001008538,"Census Tract 85.38, Adams County, CO",Adams County,13063,673,5.2
08001008540,"Census Tract 85.40, Adams County, CO",Adams County,9878,726,7.3
08001008544,"Census Tract 85.44, Adams County, CO",Adams County,6116,372,6.1
08001008545,"Census Tract 85.45, Adams County, CO",Adams County,6418,909,14.2
08001008546,"Census Tract 85.46, Adams County, CO",Adams County,3606,262,7.3
08001008547,"Census Tract 85.47, Adams County, CO",Adams County,3422,420,12.3
08001008548,"Census Tract 85.48, Adams County, CO",Adams County,1586,111,7.0
08001008549,"Census Tract 85.49, Adams County, CO",Adams County,4434,430,9.7
08001008550,"Census Tract 85.50, Adams County, CO",Adams County,8351,934,11.2
08001008551,"Census Tract 85.51, Adams County, CO",Adams County,1733,183,10.6
08001008552,"Census Tract 85.52, Adams County, CO",Adams County,4882,498,10.2
08001008553,"Census Tract 85.53, Adams County, CO",Adams County,5634,807,14.3
08001008554,"Census Tract 85.54, Adams County, CO",Adams County,2713,788,29.0
08001008555,"Census Tract 85.55, Adams County, CO",Adams County,6349,584,9.2
08001008556,"Census Tract 85.56, Adams County, CO",Adams County,6226,460,7.4
08001008557,"Census Tract 85.57, Adams County, CO",Adams County,1212,94,7.8
08001008558,"Census Tract 85.58, Adams County, CO",Adams County,4368,324,7.4
08001008559,"Census Tract 85.59, Adams County, CO",Adams County,9433,705,7.5
08001008560,"Census Tract 85.60, Adams County, CO",Adams County,2191,320,14.6
