GEO_ID,NAME,Total_Pop,Pop_Disabled
08001988700,Census Tract 9887; Adams County; Colorado,0,0
08059009806,Census Tract 98.06; Jefferson County; Colorado,4706,446
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,171
08059009815,Census Tract 98.15; Jefferson County; Colorado,5126,419
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,232
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,772
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,884
08059009828,Census Tract 98.28; Jefferson County; Colorado,5203,466
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,65
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,259
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,464
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,317
08059009833,Census Tract 98.33; Jefferson County; Colorado,5603,874
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,477
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,324
08059009836,Census Tract 98.36; Jefferson County; Colorado,3947,396
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,589
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,448
08059009839,Census Tract 98.39; Jefferson County; Colorado,2245,135
08059009840,Census Tract 98.40; Jefferson County; Colorado,3423,527
08059009841,Census Tract 98.41; Jefferson County; Colorado,2064,252
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,220
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,178
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,466
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,205
08059009848,Census Tract 98.48; Jefferson County; Colorado,2589,223
08059009850,Census Tract 98.50; Jefferson County; Colorado,2531,229
08059009851,Census Tract 98.51; Jefferson County; Colorado,3854,506
08059009852,Census Tract 98.52; Jefferson County; Colorado,4888,337
08059009853,Census Tract 98.53; Jefferson County; Colorado,2695,257
08059009854,Census Tract 98.54; Jefferson County; Colorado,5252,484
08059009855,Census Tract 98.55; Jefferson County; Colorado,3043,207
