Census Tract,Tract_Name,County,Total_Pop,Below_Poverty,Poverty_Rate
85910801,"Census Tract 108.01, Jefferson County, CO",Jefferson County,2411,46,1.9
85910901,"Census Tract 109.01, Jefferson County, CO",Jefferson County,5469,375,6.9
85910902,"Census Tract 109.02, Jefferson County, CO",Jefferson County,2993,731,24.4
85911000,"Census Tract 110, Jefferson County, CO",Jefferson County,5545,448,8.1
85911101,"Census Tract 111.01, Jefferson County, CO",Jefferson County,3598,301,8.4
85911102,"Census Tract 111.02, Jefferson County, CO",Jefferson County,2841,908,32.0
85911202,"Census Tract 112.02, Jefferson County, CO",Jefferson County,4274,365,8.5
85911300,"Census Tract 113, Jefferson County, CO",Jefferson County,3230,252,7.8
85911401,"Census Tract 114.01, Jefferson County, CO",Jefferson County,2533,489,19.3
85911402,"Census Tract 114.02, Jefferson County, CO",Jefferson County,3970,745,18.8
85911551,"Census Tract 115.51, Jefferson County, CO",Jefferson County,4043,429,10.6
85911552,"Census Tract 115.52, Jefferson County, CO",Jefferson County,3194,779,24.4
85911601,"Census Tract 116.01, Jefferson County, CO",Jefferson County,4068,440,10.8
85911602,"Census Tract 116.02, Jefferson County, CO",Jefferson County,3999,182,4.6
85911701,"Census Tract 117.01, Jefferson County, CO",Jefferson County,4585,261,5.7
85911702,"Census Tract 117.02, Jefferson County, CO",Jefferson County,5329,216,4.1
85911708,"Census Tract 117.08, Jefferson County, CO",Jefferson County,3806,204,5.4
85911709,"Census Tract 117.09, Jefferson County, CO",Jefferson County,3297,119,3.6
85911710,"Census Tract 117.10, Jefferson County, CO",Jefferson County,3939,141,3.6
85911711,"Census Tract 117.11, Jefferson County, CO",Jefferson County,4143,357,8.6
85911712,"Census Tract 117.12, Jefferson County, CO",Jefferson County,4139,72,1.7
85911720,"Census Tract 117.20, Jefferson County, CO",Jefferson County,5205,114,2.2
85911721,"Census Tract 117.21, Jefferson County, CO",Jefferson County,3146,445,14.1
85911723,"Census Tract 117.23, Jefferson County, CO",Jefferson County,3483,134,3.8
85911724,"Census Tract 117.24, Jefferson County, CO",Jefferson County,8052,93,1.2
85911725,"Census Tract 117.25, Jefferson County, CO",Jefferson County,1821,15,0.8
85911726,"Census Tract 117.26, Jefferson County, CO",Jefferson County,5424,224,4.1
85911727,"Census Tract 117.27, Jefferson County, CO",Jefferson County,3818,190,5.0
85911728,"Census Tract 117.28, Jefferson County, CO",Jefferson County,2647,191,7.2
85911729,"Census Tract 117.29, Jefferson County, CO",Jefferson County,4156,523,12.6
85911730,"Census Tract 117.30, Jefferson County, CO",Jefferson County,3296,276,8.4
85911731,"Census Tract 117.31, Jefferson County, CO",Jefferson County,4173,72,1.7
85911732,"Census Tract 117.32, Jefferson County, CO",Jefferson County,4993,534,10.7
85911733,"Census Tract 117.33, Jefferson County, CO",Jefferson County,2322,270,11.6
85911803,"Census Tract 118.03, Jefferson County, CO",Jefferson County,6285,718,11.4
85911804,"Census Tract 118.04, Jefferson County, CO",Jefferson County,4167,839,20.1
85911806,"Census Tract 118.06, Jefferson County, CO",Jefferson County,4866,638,13.1
85911807,"Census Tract 118.07, Jefferson County, CO",Jefferson County,2599,310,11.9
85911808,"Census Tract 118.08, Jefferson County, CO",Jefferson County,2409,295,12.2
85911904,"Census Tract 119.04, Jefferson County, CO",Jefferson County,3102,255,8.2
85911951,"Census Tract 119.51, Jefferson County, CO",Jefferson County,4084,203,5.0
85912022,"Census Tract 120.22, Jefferson County, CO",Jefferson County,5608,167,3.0
85912023,"Census Tract 120.23, Jefferson County, CO",Jefferson County,2986,140,4.7
85912024,"Census Tract 120.24, Jefferson County, CO",Jefferson County,5616,164,2.9
85912026,"Census Tract 120.26, Jefferson County, CO",Jefferson County,3273,130,4.0
85912027,"Census Tract 120.27, Jefferson County, CO",Jefferson County,2772,161,5.8
85912030,"Census Tract 120.30, Jefferson County, CO",Jefferson County,3835,100,2.6
85912031,"Census Tract 120.31, Jefferson County, CO",Jefferson County,3249,16,0.5
85912032,"Census Tract 120.32, Jefferson County, CO",Jefferson County,2603,110,4.2
85912033,"Census Tract 120.33, Jefferson County, CO",Jefferson County,3017,311,10.3
85912034,"Census Tract 120.34, Jefferson County, CO",Jefferson County,4017,138,3.4
85912035,"Census Tract 120.35, Jefferson County, CO",Jefferson County,5038,106,2.1
85912036,"Census Tract 120.36, Jefferson County, CO",Jefferson County,3153,150,4.8
85912037,"Census Tract 120.37, Jefferson County, CO",Jefferson County,3721,119,3.2
85912038,"Census Tract 120.38, Jefferson County, CO",Jefferson County,3425,77,2.2
85912039,"Census Tract 120.39, Jefferson County, CO",Jefferson County,5192,380,7.3
85912041,"Census Tract 120.41, Jefferson County, CO",Jefferson County,5224,281,5.4
85912042,"Census Tract 120.42, Jefferson County, CO",Jefferson County,3920,56,1.4
85912043,"Census Tract 120.43, Jefferson County, CO",Jefferson County,5776,118,2.0
85912044,"Census Tract 120.44, Jefferson County, CO",Jefferson County,3784,126,3.3
85912045,"Census Tract 120.45, Jefferson County, CO",Jefferson County,5787,245,4.2
85912046,"Census Tract 120.46, Jefferson County, CO",Jefferson County,1944,40,2.1
85912047,"Census Tract 120.47, Jefferson County, CO",Jefferson County,4296,180,4.2
85912048,"Census Tract 120.48, Jefferson County, CO",Jefferson County,2079,33,1.6
85912049,"Census Tract 120.49, Jefferson County, CO",Jefferson County,3511,142,4.0
85912050,"Census Tract 120.50, Jefferson County, CO",Jefferson County,3946,189,4.8
85912051,"Census Tract 120.51, Jefferson County, CO",Jefferson County,4039,203,5.0
85912052,"Census Tract 120.52, Jefferson County, CO",Jefferson County,5672,201,3.5
85912053,"Census Tract 120.53, Jefferson County, CO",Jefferson County,4397,204,4.6
85912054,"Census Tract 120.54, Jefferson County, CO",Jefferson County,3798,171,4.5
85912055,"Census Tract 120.55, Jefferson County, CO",Jefferson County,3695,230,6.2
85912057,"Census Tract 120.57, Jefferson County, CO",Jefferson County,5953,186,3.1
85912058,"Census Tract 120.58, Jefferson County, CO",Jefferson County,3815,166,4.4
85912059,"Census Tract 120.59, Jefferson County, CO",Jefferson County,3549,247,7.0
85912060,"Census Tract 120.60, Jefferson County, CO",Jefferson County,3169,92,2.9
85915800,"Census Tract 158, Jefferson County, CO",Jefferson County,4118,551,13.4
85915900,"Census Tract 159, Jefferson County, CO",Jefferson County,3469,756,21.8
85960300,"Census Tract 603, Jefferson County, CO",Jefferson County,4145,119,2.9
85960400,"Census Tract 604, Jefferson County, CO",Jefferson County,6139,139,2.3
85960501,"Census Tract 605.01, Jefferson County, CO",Jefferson County,11135,429,3.9
859980000,"Census Tract 9800, Jefferson County, CO",Jefferson County,0,0,
859980400,"Census Tract 9804, Jefferson County, CO",Jefferson County,0,0,
859980700,"Census Tract 9807, Jefferson County, CO",Jefferson County,0,0,
859980800,"Census Tract 9808, Jefferson County, CO",Jefferson County,0,0,
