GEO_ID,Tract_Name,County,Total_Pop,White_NonHispanic,Black_NonHispanic,Asian_NonHispanic,Hispanic,Pct_White_NonHisp,Pct_Black,Pct_Asian,Pct_Hispanic
08059009838,"Census Tract 98.38, Jefferson County, CO",Jefferson County,5244,4369,8,191,515,83.3,0.2,3.6,9.8
08059009839,"Census Tract 98.39, Jefferson County, CO",Jefferson County,2245,1881,7,26,192,83.8,0.3,1.2,8.6
08059009840,"Census Tract 98.40, Jefferson County, CO",Jefferson County,3457,2852,44,10,429,82.5,1.3,0.3,12.4
08059009841,"Census Tract 98.41, Jefferson County, CO",Jefferson County,2110,1736,29,11,231,82.3,1.4,0.5,10.9
08059009842,"Census Tract 98.42, Jefferson County, CO",Jefferson County,3201,2923,21,27,138,91.3,0.7,0.8,4.3
08059009845,"Census Tract 98.45, Jefferson County, CO",Jefferson County,4123,3672,13,17,95,89.1,0.3,0.4,2.3
08059009846,"Census Tract 98.46, Jefferson County, CO",Jefferson County,4990,4399,14,12,344,88.2,0.3,0.2,6.9
08059009847,"Census Tract 98.47, Jefferson County, CO",Jefferson County,3362,3131,43,0,83,93.1,1.3,0.0,2.5
08059009848,"Census Tract 98.48, Jefferson County, CO",Jefferson County,2680,2405,0,31,238,89.7,0.0,1.2,8.9
08059009850,"Census Tract 98.50, Jefferson County, CO",Jefferson County,2531,2262,0,104,40,89.4,0.0,4.1,1.6
08059009851,"Census Tract 98.51, Jefferson County, CO",Jefferson County,3854,3257,40,93,247,84.5,1.0,2.4,6.4
08059009852,"Census Tract 98.52, Jefferson County, CO",Jefferson County,4893,4166,28,83,349,85.1,0.6,1.7,7.1
08059009853,"Census Tract 98.53, Jefferson County, CO",Jefferson County,2695,2508,0,26,84,93.1,0.0,1.0,3.1
08059009854,"Census Tract 98.54, Jefferson County, CO",Jefferson County,5252,4553,0,422,82,86.7,0.0,8.0,1.6
08059009855,"Census Tract 98.55, Jefferson County, CO",Jefferson County,3043,2788,0,83,98,91.6,0.0,2.7,3.2
08059009856,"Census Tract 98.56, Jefferson County, CO",Jefferson County,2707,2178,0,53,348,80.5,0.0,2.0,12.9
08059009857,"Census Tract 98.57, Jefferson County, CO",Jefferson County,2957,2639,0,75,81,89.2,0.0,2.5,2.7
08059009858,"Census Tract 98.58, Jefferson County, CO",Jefferson County,3617,3254,0,22,219,90.0,0.0,0.6,6.1
08059009901,"Census Tract 99.01, Jefferson County, CO",Jefferson County,3192,2541,38,162,269,79.6,1.2,5.1,8.4
08059010001,"Census Tract 100.01, Jefferson County, CO",Jefferson County,4203,2950,168,93,719,70.2,4.0,2.2,17.1
08059010100,"Census Tract 101, Jefferson County, CO",Jefferson County,5357,3840,80,282,771,71.7,1.5,5.3,14.4
08059010205,"Census Tract 102.05, Jefferson County, CO",Jefferson County,2527,2310,0,16,139,91.4,0.0,0.6,5.5
08059010206,"Census Tract 102.06, Jefferson County, CO",Jefferson County,4098,3210,152,58,609,78.3,3.7,1.4,14.9
08059010208,"Census Tract 102.08, Jefferson County, CO",Jefferson County,5567,4033,18,98,957,72.4,0.3,1.8,17.2
08059010209,"Census Tract 102.09, Jefferson County, CO",Jefferson County,7130,4304,28,200,2199,60.4,0.4,2.8,30.8
08059010210,"Census Tract 102.10, Jefferson County, CO",Jefferson County,3229,2738,0,16,319,84.8,0.0,0.5,9.9
08059010211,"Census Tract 102.11, Jefferson County, CO",Jefferson County,3135,1916,22,69,985,61.1,0.7,2.2,31.4
