GEO_ID,NAME,Total_Pop,Total_Uninsured,Uninsured_Rate
08001009553,Census Tract 95.53; Adams County; Colorado,3587,455,12.7
08001009603,Census Tract 96.03; Adams County; Colorado,6343,1578,24.9
08001009604,Census Tract 96.04; Adams County; Colorado,3779,342,9.1
08001009606,Census Tract 96.06; Adams County; Colorado,3092,230,7.4
08001009607,Census Tract 96.07; Adams County; Colorado,4096,377,9.2
08001009608,Census Tract 96.08; Adams County; Colorado,2827,459,16.2
08001009751,Census Tract 97.51; Adams County; Colorado,3884,1410,36.3
08001009752,Census Tract 97.52; Adams County; Colorado,3163,535,16.9
08001015000,Census Tract 150; Adams County; Colorado,2263,196,8.7
08001060001,Census Tract 600.01; Adams County; Colorado,2974,108,3.6
08001060002,Census Tract 600.02; Adams County; Colorado,5127,167,3.3
08001060100,Census Tract 601; Adams County; Colorado,7667,763,10.0
08001060200,Census Tract 602; Adams County; Colorado,4721,357,7.6
08001061200,Census Tract 612; Adams County; Colorado,4271,166,3.9
08001988700,Census Tract 9887; Adams County; Colorado,0,0,
08059009806,Census Tract 98.06; Jefferson County; Colorado,4706,76,1.6
08059009807,Census Tract 98.07; Jefferson County; Colorado,1719,27,1.6
08059009815,Census Tract 98.15; Jefferson County; Colorado,5126,37,0.7
08059009823,Census Tract 98.23; Jefferson County; Colorado,4308,150,3.5
08059009824,Census Tract 98.24; Jefferson County; Colorado,4889,289,5.9
08059009827,Census Tract 98.27; Jefferson County; Colorado,5614,319,5.7
08059009828,Census Tract 98.28; Jefferson County; Colorado,5203,603,11.6
08059009829,Census Tract 98.29; Jefferson County; Colorado,1736,28,1.6
08059009830,Census Tract 98.30; Jefferson County; Colorado,2277,161,7.1
08059009831,Census Tract 98.31; Jefferson County; Colorado,3121,173,5.5
08059009832,Census Tract 98.32; Jefferson County; Colorado,2285,136,6.0
08059009833,Census Tract 98.33; Jefferson County; Colorado,5603,182,3.2
08059009834,Census Tract 98.34; Jefferson County; Colorado,4592,307,6.7
08059009835,Census Tract 98.35; Jefferson County; Colorado,3421,56,1.6
08059009836,Census Tract 98.36; Jefferson County; Colorado,3947,60,1.5
08059009837,Census Tract 98.37; Jefferson County; Colorado,8574,171,2.0
08059009838,Census Tract 98.38; Jefferson County; Colorado,5244,39,0.7
08059009839,Census Tract 98.39; Jefferson County; Colorado,2245,20,0.9
08059009840,Census Tract 98.40; Jefferson County; Colorado,3423,70,2.0
08059009841,Census Tract 98.41; Jefferson County; Colorado,2064,148,7.2
08059009842,Census Tract 98.42; Jefferson County; Colorado,3201,47,1.5
08059009845,Census Tract 98.45; Jefferson County; Colorado,4123,29,0.7
08059009846,Census Tract 98.46; Jefferson County; Colorado,4990,222,4.4
08059009847,Census Tract 98.47; Jefferson County; Colorado,3362,194,5.8
08059009848,Census Tract 98.48; Jefferson County; Colorado,2589,125,4.8
08059009850,Census Tract 98.50; Jefferson County; Colorado,2531,20,0.8
08059009851,Census Tract 98.51; Jefferson County; Colorado,3854,158,4.1
08059009852,Census Tract 98.52; Jefferson County; Colorado,4888,45,0.9
08059009853,Census Tract 98.53; Jefferson County; Colorado,2695,16,0.6
08059009854,Census Tract 98.54; Jefferson County; Colorado,5252,92,1.8
08059009855,Census Tract 98.55; Jefferson County; Colorado,3043,25,0.8
08059009856,Census Tract 98.56; Jefferson County; Colorado,2707,193,7.1
08059009857,Census Tract 98.57; Jefferson County; Colorado,2945,169,5.7
08059009858,Census Tract 98.58; Jefferson County; Colorado,3605,304,8.4
08059009901,Census Tract 99.01; Jefferson County; Colorado,3192,92,2.9
08059010001,Census Tract 100.01; Jefferson County; Colorado,3286,113,3.4
08059010100,Census Tract 101; Jefferson County; Colorado,4846,254,5.2
08059010205,Census Tract 102.05; Jefferson County; Colorado,2521,120,4.8
08059010206,Census Tract 102.06; Jefferson County; Colorado,4098,121,3.0
08059010208,Census Tract 102.08; Jefferson County; Colorado,5559,125,2.2
08059010209,Census Tract 102.09; Jefferson County; Colorado,7130,686,9.6
08059010210,Census Tract 102.10; Jefferson County; Colorado,3187,47,1.5
08059010211,Census Tract 102.11; Jefferson County; Colorado,2936,124,4.2
08059010212,Census Tract 102.12; Jefferson County; Colorado,4201,468,11.1
08059010213,Census Tract 102.13; Jefferson County; Colorado,4574,314,6.9
08059010303,Census Tract 103.03; Jefferson County; Colorado,5269,254,4.8
08059010304,Census Tract 103.04; Jefferson County; Colorado,2322,96,4.1
08059010305,Census Tract 103.05; Jefferson County; Colorado,3510,335,9.5
08059010306,Census Tract 103.06; Jefferson County; Colorado,2640,141,5.3
08059010307,Census Tract 103.07; Jefferson County; Colorado,4615,122,2.6
08059010308,Census Tract 103.08; Jefferson County; Colorado,7062,546,7.7
08059010402,Census Tract 104.02; Jefferson County; Colorado,5428,456,8.4
08059010403,Census Tract 104.03; Jefferson County; Colorado,5525,953,17.2
08059010405,Census Tract 104.05; Jefferson County; Colorado,2903,147,5.1
08059010406,Census Tract 104.06; Jefferson County; Colorado,2873,490,17.1
08059010502,Census Tract 105.02; Jefferson County; Colorado,5262,254,4.8
08059010503,Census Tract 105.03; Jefferson County; Colorado,4711,182,3.9
08059010504,Census Tract 105.04; Jefferson County; Colorado,3092,19,0.6
08059010603,Census Tract 106.03; Jefferson County; Colorado,3619,209,5.8
08059010604,Census Tract 106.04; Jefferson County; Colorado,2248,55,2.4
08059010701,Census Tract 107.01; Jefferson County; Colorado,4579,294,6.4
08059010702,Census Tract 107.02; Jefferson County; Colorado,5305,667,12.6
08059010801,Census Tract 108.01; Jefferson County; Colorado,2411,23,1.0
08059010901,Census Tract 109.01; Jefferson County; Colorado,5469,278,5.1
08059010902,Census Tract 109.02; Jefferson County; Colorado,2993,146,4.9
08059011000,Census Tract 110; Jefferson County; Colorado,5573,514,9.2
08059011101,Census Tract 111.01; Jefferson County; Colorado,3590,196,5.5
08059011102,Census Tract 111.02; Jefferson County; Colorado,2879,243,8.4
08059011202,Census Tract 112.02; Jefferson County; Colorado,5091,329,6.5
08059011300,Census Tract 113; Jefferson County; Colorado,3230,298,9.2
08059011401,Census Tract 114.01; Jefferson County; Colorado,2533,287,11.3
08059011402,Census Tract 114.02; Jefferson County; Colorado,3970,727,18.3
08059011551,Census Tract 115.51; Jefferson County; Colorado,4043,443,11.0
08059011552,Census Tract 115.52; Jefferson County; Colorado,3171,221,7.0
08059011601,Census Tract 116.01; Jefferson County; Colorado,4068,409,10.1
08059011602,Census Tract 116.02; Jefferson County; Colorado,4012,379,9.4
08059011701,Census Tract 117.01; Jefferson County; Colorado,4591,666,14.5
08059011702,Census Tract 117.02; Jefferson County; Colorado,5359,223,4.2
08059011708,Census Tract 117.08; Jefferson County; Colorado,3806,286,7.5
08059011709,Census Tract 117.09; Jefferson County; Colorado,3297,185,5.6
08059011710,Census Tract 117.10; Jefferson County; Colorado,3939,405,10.3
08059011711,Census Tract 117.11; Jefferson County; Colorado,4086,105,2.6
08059011712,Census Tract 117.12; Jefferson County; Colorado,4139,86,2.1
08059011720,Census Tract 117.20; Jefferson County; Colorado,5212,56,1.1
08059011721,Census Tract 117.21; Jefferson County; Colorado,3146,158,5.0
08059011723,Census Tract 117.23; Jefferson County; Colorado,3487,131,3.8
08059011724,Census Tract 117.24; Jefferson County; Colorado,8052,37,0.5
08059011725,Census Tract 117.25; Jefferson County; Colorado,1821,126,6.9
08059011726,Census Tract 117.26; Jefferson County; Colorado,5424,383,7.1
08059011727,Census Tract 117.27; Jefferson County; Colorado,3818,59,1.5
08059011728,Census Tract 117.28; Jefferson County; Colorado,2647,102,3.9
08059011729,Census Tract 117.29; Jefferson County; Colorado,4173,282,6.8
08059011730,Census Tract 117.30; Jefferson County; Colorado,3322,236,7.1
08059011731,Census Tract 117.31; Jefferson County; Colorado,4205,416,9.9
08059011732,Census Tract 117.32; Jefferson County; Colorado,5002,752,15.0
08059011733,Census Tract 117.33; Jefferson County; Colorado,2330,133,5.7
08059011803,Census Tract 118.03; Jefferson County; Colorado,6285,640,10.2
08059011804,Census Tract 118.04; Jefferson County; Colorado,4172,599,14.4
08059011806,Census Tract 118.06; Jefferson County; Colorado,4866,803,16.5
08059011807,Census Tract 118.07; Jefferson County; Colorado,2548,175,6.9
08059011808,Census Tract 118.08; Jefferson County; Colorado,2409,223,9.3
08059011904,Census Tract 119.04; Jefferson County; Colorado,3102,153,4.9
08059011951,Census Tract 119.51; Jefferson County; Colorado,4084,205,5.0
08059012022,Census Tract 120.22; Jefferson County; Colorado,5571,229,4.1
08059012023,Census Tract 120.23; Jefferson County; Colorado,3002,147,4.9
08059012024,Census Tract 120.24; Jefferson County; Colorado,5638,273,4.8
08059012026,Census Tract 120.26; Jefferson County; Colorado,3273,41,1.3
08059012027,Census Tract 120.27; Jefferson County; Colorado,2792,0,0.0
08059012030,Census Tract 120.30; Jefferson County; Colorado,3835,185,4.8
08059012031,Census Tract 120.31; Jefferson County; Colorado,3249,208,6.4
08059012032,Census Tract 120.32; Jefferson County; Colorado,2603,78,3.0
08059012033,Census Tract 120.33; Jefferson County; Colorado,3017,167,5.5
08059012034,Census Tract 120.34; Jefferson County; Colorado,4017,10,0.2
08059012035,Census Tract 120.35; Jefferson County; Colorado,5038,30,0.6
08059012036,Census Tract 120.36; Jefferson County; Colorado,3153,171,5.4
08059012037,Census Tract 120.37; Jefferson County; Colorado,3721,174,4.7
08059012038,Census Tract 120.38; Jefferson County; Colorado,3425,150,4.4
08059012039,Census Tract 120.39; Jefferson County; Colorado,5227,97,1.9
08059012041,Census Tract 120.41; Jefferson County; Colorado,5244,178,3.4
08059012042,Census Tract 120.42; Jefferson County; Colorado,3919,112,2.9
08059012043,Census Tract 120.43; Jefferson County; Colorado,5829,127,2.2
08059012044,Census Tract 120.44; Jefferson County; Colorado,3784,156,4.1
08059012045,Census Tract 120.45; Jefferson County; Colorado,5820,267,4.6
